cleaned_complaint;category;category_label
sir ji tap water area turned yellow smells bad hope quick action side;Water Quality & Sanitation;8
may concern tap water area turned yellow smells bad kindly take necessary action;Water Quality & Sanitation;8
dear officer nearest hospital jamshedpur far transport emergencies;Public Health;5
may concern transformer near bundu keeps tripping causing frequent power fluctuations hope quick action side;Energy & Sustainability;3
may concern proper lighting pathalgaon street women feel scared walk alone night please help us soon possible;Safety & Public Welfare;6
dear officer old age home netarhat enough staff take care residents complaining long time;Safety & Public Welfare;6
dear officer anganwadi centre pakur distributed nutrition supplements months needs fixed immediately;Public Health;5
respected authority open drains near manjhgaon overflowing spreading foul smell street waiting response;Water Quality & Sanitation;8
residents bero colony want bring notice coal transport trucks passing karra spread black dust houses kindly inspect pollution levels area;Air & Environmental Pollution;1
resident pakur water pipeline burst 30 days ago dirty muddy water entering homes kindly repair pipeline people fall sick;Water Quality & Sanitation;8
class 9 student karra government school building jamtara leaking roof classes get disturbed rain affecting studies lot please help;Education;2
child unwell anganwadi centre silli distributed nutrition supplements months hope quick action side;Public Health;5
wild animals nearby forest keep destroying crops torpa night requesting resolve soon;Agriculture & Rural Development;0
woman living sahibganj proper lighting chandpur street women feel scared walk alone night requesting resolve soon;Safety & Public Welfare;6
sir ji new transformer promised dhanbad still installed hope quick action side;Energy & Sustainability;3
respected authority anganwadi centre sultanpur distributed nutrition supplements months please look matter urgently;Public Health;5
respected authority proper sanitation hospital ward patients getting infections really worried health children;Public Health;5
sir many people madhopur fallen sick diarrhea recent floods waiting response;Public Health;5
student studying lakhanpur received textbooks even though session started 35 months ago kindly take necessary action;Education;2
residents silli colony want inform railway crossing near ramgarh gate dangerous pedestrians complaining long time;Safety & Public Welfare;6
dear officer nearest school higher secondary far silli many students drop waiting response;Education;2
dear officer drainage near market madhopur blocked garbage overflowing complaining long time;Waste Management;7
child unwell ambulance service available pathalgaon emergencies please send doctor health centre soon;Public Health;5
respected sir madam dust nearby construction site covering houses difficult keep windows open kindly take necessary action;Air & Environmental Pollution;1
respected authority people dumping waste open plot near karra attracting stray animals;Waste Management;7
respected sir madam solar street lights installed bokaro stopped working within months please look matter urgently;Energy & Sustainability;3
resident dumka hand pump village broken 3 days walk far fetch water needs fixed immediately;Water Quality & Sanitation;8
respected sir madam school library students access reference books complaining long time;Education;2
hello strong chemical smell coming industrial area near ranchi every night kindly take necessary action;Air & Environmental Pollution;1
resident ramgarh sewage water mixing drinking water pipeline khunti please look matter urgently;Water Quality & Sanitation;8
respected sir madam health worker visited village vaccination 16 weeks hope quick action side;Public Health;5
may concern water pipeline burst 26 days ago dirty muddy water entering homes kindly take necessary action;Water Quality & Sanitation;8
resident bokaro want inform health worker visited village vaccination 28 weeks please help us soon possible;Public Health;5
dear officer water tank near house cleaned months mosquitoes breeding needs fixed immediately;Water Quality & Sanitation;8
woman living lakhanpur boundary wall community park khunti broken children wander onto main road waiting response;Safety & Public Welfare;6
respected authority borewell water locality become hard damaging utensils hope quick action side;Water Quality & Sanitation;8
parent student jamtara school computer lab school non functional long time kindly arrange missing textbooks exams;Education;2
may concern transformer near godda keeps tripping causing frequent power fluctuations hope quick action side;Energy & Sustainability;3
namaste sir main ek kisan hoon nagla basti village loan waiver promised farmers deoghar still processed please look matter urgently;Agriculture & Rural Development;0
every day going work silli bridge near rampur damaged vehicles struggling cross waiting response;Infrastructure & Roads;4
residents pakur colony want bring notice cannot sit outside evening smoke nearby factory chimney children developing breathing problems smoke;Air & Environmental Pollution;1
woman living tamar cctv cameras installed near khunti market working months requesting resolve soon;Safety & Public Welfare;6
loan waiver promised farmers chatra still processed requesting resolve soon;Agriculture & Rural Development;0
sir ji garbage collected street pathalgaon week requesting resolve soon;Waste Management;7
respected authority hand pump village broken 13 days walk far fetch water kindly repair pipeline people fall sick;Water Quality & Sanitation;8
run shop near devgarh market dustbin provided market area karra people throw garbage road smell become unbearable residents;Waste Management;7
class 12 student bero school enough teachers science maths subjects please look matter urgently;Education;2
may concern municipal waste truck skips area days waiting response;Waste Management;7
stay near industrial area bishnupur factory near netarhat releases thick black smoke every day hard breathe kindly take necessary action;Air & Environmental Pollution;1
hello health worker visited village vaccination 42 weeks kindly take necessary action;Public Health;5
hello several incidents chain snatching near netarhat market recently feel safe neighbourhood anymore;Safety & Public Welfare;6
respected sir madam received soil testing results even applying 34 weeks ago facing lot losses please help soon;Agriculture & Rural Development;0
sir ji open drains near chaibasa overflowing spreading foul smell street kindly send someone check soon possible;Water Quality & Sanitation;8
sir ji open manholes madhopur road risky night kindly install streetlights stretch soon possible;Infrastructure & Roads;4
sir old age home dumka enough staff take care residents kindly send someone check soon possible;Safety & Public Welfare;6
respected authority municipal waste truck skips area days waiting response;Waste Management;7
respected authority proper sanitation hospital ward patients getting infections needs fixed immediately;Public Health;5
sir ji footpath near devgarh broken long time difficult elderly people walk requesting resolve soon;Infrastructure & Roads;4
sir proper storage facility koderma lot grain gets spoiled every year please help us kisano ko troubled;Agriculture & Rural Development;0
writing behalf residents rampur government hospital sahibganj always even basic medicines;Public Health;5
may concern road connecting simdega main highway huge potholes dangerous please repair road someone gets seriously hurt;Infrastructure & Roads;4
respected authority road connecting torpa main highway huge potholes dangerous please help us soon possible;Infrastructure & Roads;4
respected authority streetlight near girls hostel sultanpur feels unsafe walk night;Safety & Public Welfare;6
hello police patrol night pakur area residents feel unsafe kindly repair streetlights safety women children;Safety & Public Welfare;6
respected sir madam rainy season road near barhi gets completely waterlogged unusable kindly send someone check soon possible;Infrastructure & Roads;4
open drains near khunti overflowing spreading foul smell street complaining long time;Water Quality & Sanitation;8
respected authority boundary wall community park pakur broken children wander onto main road feel safe neighbourhood anymore;Safety & Public Welfare;6
dear officer open drains near dumka overflowing spreading foul smell street worried health children water;Water Quality & Sanitation;8
sir farmer bundu fields flooded recent rains compensation given us kindly send agriculture officer inspect fields;Agriculture & Rural Development;0
government school building khunti leaking roof classes get disturbed rain please send teachers school soon;Education;2
namaste sir main ek kisan hoon chandpur village received soil testing results even applying 27 weeks ago please help us kisano ko troubled;Agriculture & Rural Development;0
school pathalgaon nearest school higher secondary far silli many students drop;Education;2
parent student koderma school mid day meal quality school become poor recently complaining long time;Education;2
hello people dumping waste open plot near latehar attracting stray animals complaining long time;Waste Management;7
sir primary health centre barhi doctor available days complaining long time;Public Health;5
sir proper storage facility shivpuri lot grain gets spoiled every year please look matter urgently;Agriculture & Rural Development;0
class 42 student gumla received textbooks even though session started 21 months ago waiting response;Education;2
primary health centre barhi doctor available days kindly take necessary action;Public Health;5
sir primary health centre pathalgaon doctor available days please send doctor health centre soon;Public Health;5
respected authority old age home dumka enough staff take care residents please help us soon possible;Safety & Public Welfare;6
sir ji received soil testing results even applying 2 weeks ago kindly send agriculture officer inspect fields;Agriculture & Rural Development;0
every evening hazaribagh burning garbage open near colony causes heavy smoke every evening complaining long time;Air & Environmental Pollution;1
dear officer footpath near rampur broken long time difficult elderly people walk please look matter urgently;Infrastructure & Roads;4
solar street lights installed khunti stopped working within months hope quick action side;Energy & Sustainability;3
sir ambulance service available hazaribagh emergencies kindly take necessary action;Public Health;5
sir ji cctv cameras installed near gumla market working months complaining long time;Safety & Public Welfare;6
parent student manjhgaon school government school building ramgarh leaking roof classes get disturbed rain please help us soon possible;Education;2
travel giridih daily bridge near sultanpur damaged vehicles struggling cross please help us soon possible;Infrastructure & Roads;4
sir garbage collection point near deoghar cleared weeks smells bad requesting resolve soon;Waste Management;7
received soil testing results even applying 35 weeks ago please help us kisano ko troubled;Agriculture & Rural Development;0
hello voltage fluctuation sultanpur damaged several household appliances recently kindly send someone check soon possible;Energy & Sustainability;3
may concern received textbooks even though session started 35 months ago needs fixed immediately;Education;2
respected authority cctv cameras installed near barhi market working months please help us soon possible;Safety & Public Welfare;6
may concern hand pump village broken 21 days walk far fetch water kindly repair pipeline people fall sick;Water Quality & Sanitation;8
may concern village still proper electricity connection even promised one please help us soon possible;Energy & Sustainability;3
may concern open drains near lakhanpur overflowing spreading foul smell street kindly repair pipeline people fall sick;Water Quality & Sanitation;8
resident palamu water community well tastes salty unsafe drink requesting resolve soon;Water Quality & Sanitation;8
resident shivpuri factory waste dumped river near silli use drinking water kindly repair pipeline people fall sick;Water Quality & Sanitation;8
respected authority road connecting dhanbad main highway huge potholes dangerous kindly install streetlights stretch soon possible;Infrastructure & Roads;4
resident ramgarh water pipeline burst 33 days ago dirty muddy water entering homes kindly take necessary action;Water Quality & Sanitation;8
namaste sir main ek kisan hoon shivpuri village wild animals nearby forest keep destroying crops devgarh night kindly send someone check soon possible;Agriculture & Rural Development;0
primary health centre madhopur doctor available days hope quick action side;Public Health;5
dear officer bridge near jamshedpur damaged vehicles struggling cross kindly install streetlights stretch soon possible;Infrastructure & Roads;4
respected authority garbage collection point near devgarh cleared weeks smells bad;Waste Management;7
respected sir madam plastic waste burnt openly near tamar every evening;Waste Management;7
stay near industrial area simdega burning garbage open near colony causes heavy smoke every evening requesting resolve soon;Air & Environmental Pollution;1
sir ji smoke nearby thermal plant made difficult breathe ramgarh lately needs fixed immediately;Air & Environmental Pollution;1
sir mid day meal quality school become poor recently needs fixed immediately;Education;2
sir borewell water locality become hard damaging utensils requesting resolve soon;Water Quality & Sanitation;8
nearest school higher secondary far bokaro many students drop affecting studies lot please help;Education;2
respected authority air quality gumla become bad family keeps coughing kindly take necessary action;Air & Environmental Pollution;1
respected sir madam one teacher entire primary school sahibganj needs fixed immediately;Education;2
may concern streetlight road near giridih 34 months met several accidents;Infrastructure & Roads;4
sir farmer netarhat irrigation canal near chatra dry entire season crops dying needs fixed immediately;Agriculture & Rural Development;0
namaste sir main ek kisan hoon dumka village loan waiver promised farmers madhopur still processed requesting resolve soon;Agriculture & Rural Development;0
dear officer stone crushing unit near deoghar covers entire area dust every afternoon;Air & Environmental Pollution;1
road dug pipeline work 23 months ago still repaired kindly take necessary action;Infrastructure & Roads;4
nearest hospital bishnupur far transport emergencies please send doctor health centre soon;Public Health;5
hello power supply ramgarh keeps going every time rains kindly take necessary action;Energy & Sustainability;3
proper storage facility devgarh lot grain gets spoiled every year needs fixed immediately;Agriculture & Rural Development;0
respected sir madam tap water area turned yellow smells bad hope quick action side;Water Quality & Sanitation;8
child unwell ambulance service available chatra emergencies kindly take necessary action;Public Health;5
respected sir madam cctv cameras installed near jamshedpur market working months kindly repair streetlights safety women children;Safety & Public Welfare;6
culvert near manjhgaon collapsed villagers take long detour needs fixed immediately;Infrastructure & Roads;4
hello mosquito breeding near stagnant water bero causing malaria cases rise kindly send someone check soon possible;Public Health;5
resident deoghar open drains near tamar overflowing spreading foul smell street worried health children water;Water Quality & Sanitation;8
sir proper lighting ranchi street women feel scared walk alone night needs fixed immediately;Safety & Public Welfare;6
may concern people dumping waste open plot near godda attracting stray animals kindly clear waste becomes health hazard;Waste Management;7
respected sir madam proper lighting deoghar street women feel scared walk alone night complaining long time;Safety & Public Welfare;6
sir ji drainage near market palamu blocked garbage overflowing needs fixed immediately;Waste Management;7
respected sir madam voltage fluctuation ranchi damaged several household appliances recently please send electrician check meter wiring;Energy & Sustainability;3
hello ambulance service available jamtara emergencies kindly arrange medicines health camp area;Public Health;5
sir mid day meal quality school become poor recently kindly send someone check soon possible;Education;2
dear officer fields flooded recent rains compensation given us please help us kisano ko troubled;Agriculture & Rural Development;0
every day going work bero road connecting sultanpur main highway huge potholes dangerous please repair road someone gets seriously hurt;Infrastructure & Roads;4
respected authority streetlight road near khunti 14 months please repair road someone gets seriously hurt;Infrastructure & Roads;4
dear officer plastic waste burnt openly near bero every evening kindly take necessary action;Waste Management;7
dear officer garbage collected street godda week hope quick action side;Waste Management;7
class 27 student godda received textbooks even though session started 39 months ago needs fixed immediately;Education;2
sir farmer karra fields flooded recent rains compensation given us please help us kisano ko troubled;Agriculture & Rural Development;0
residents torpa want inform electricity meter installed house showing wrong readings;Energy & Sustainability;3
class 37 student latehar one teacher entire primary school kishanpur needs fixed immediately;Education;2
may concern internet facility school makes hard access online classes complaining long time;Education;2
resident khunti railway crossing near dhanbad gate dangerous pedestrians waiting response;Safety & Public Welfare;6
writing behalf residents dhanbad mosquito breeding near stagnant water bundu causing malaria cases rise kindly take necessary action;Public Health;5
sir farmer dhanbad proper storage facility jamtara lot grain gets spoiled every year please help us kisano ko troubled;Agriculture & Rural Development;0
road connecting pathalgaon main highway huge potholes dangerous kindly send someone check soon possible;Infrastructure & Roads;4
school pakur internet facility school makes hard access online classes please look matter urgently;Education;2
respected authority power supply khunti keeps going every time rains please send electrician check meter wiring;Energy & Sustainability;3
respected sir madam proper sewage system silli waste water collects road every day kindly send someone check soon possible;Water Quality & Sanitation;8
may concern stone crushing unit near devgarh covers entire area dust every afternoon kindly send someone check soon possible;Air & Environmental Pollution;1
dear officer burning garbage open near colony causes heavy smoke every evening requesting resolve soon;Air & Environmental Pollution;1
respected sir madam drainage near market chatra blocked garbage overflowing kindly send someone check soon possible;Waste Management;7
respected sir madam power supply pathalgaon keeps going every time rains waiting response;Energy & Sustainability;3
parent student pathalgaon school school enough teachers science maths subjects waiting response;Education;2
hello new transformer promised sultanpur still installed please help us soon possible;Energy & Sustainability;3
respected sir madam stone crushing unit near torpa covers entire area dust every afternoon needs fixed immediately;Air & Environmental Pollution;1
every evening chatra strong chemical smell coming industrial area near lakhanpur every night please help us soon possible;Air & Environmental Pollution;1
dear officer garbage collection point near sahibganj cleared weeks smells bad waiting response;Waste Management;7
dear officer stone crushing unit near dhanbad covers entire area dust every afternoon;Air & Environmental Pollution;1
respected authority nearest hospital pathalgaon far transport emergencies waiting response;Public Health;5
respected sir madam water pipeline burst 5 days ago dirty muddy water entering homes kindly repair pipeline people fall sick;Water Quality & Sanitation;8
living bokaro many years sewage water mixing drinking water pipeline ranchi kindly take necessary action;Water Quality & Sanitation;8
commuters latehar road want inform rainy season road near pathalgaon gets completely waterlogged unusable needs fixed immediately;Infrastructure & Roads;4
sir proper road signs khunti bypass accidents keep happening waiting response;Infrastructure & Roads;4
mid day meal quality school become poor recently needs fixed immediately;Education;2
resident ramgarh police patrol night manjhgaon area residents feel unsafe requesting resolve soon;Safety & Public Welfare;6
respected authority factory waste dumped river near sultanpur use drinking water requesting resolve soon;Water Quality & Sanitation;8
may concern vehicles passing sahibganj road release thick black smoke pollution check ever happens needs fixed immediately;Air & Environmental Pollution;1
respected authority streetlight road near manjhgaon 11 months waiting response;Infrastructure & Roads;4
drainage near market netarhat blocked garbage overflowing requesting resolve soon;Waste Management;7
student studying ramgarh mid day meal quality school become poor recently kindly take necessary action;Education;2
sir ji hand pump village broken 16 days walk far fetch water waiting response;Water Quality & Sanitation;8
respected sir madam several incidents chain snatching near giridih market recently complaining long time;Safety & Public Welfare;6
respected sir madam smoke nearby thermal plant made difficult breathe gumla lately complaining long time;Air & Environmental Pollution;1
every evening jamshedpur cannot sit outside evening smoke nearby factory chimney hope quick action side;Air & Environmental Pollution;1
respected authority new transformer promised deoghar still installed kindly take necessary action;Energy & Sustainability;3
farming rampur many years seeds supplied agriculture department season germinate properly requesting resolve soon;Agriculture & Rural Development;0
namaste sir main ek kisan hoon hazaribagh village irrigation canal near silli dry entire season crops dying facing lot losses please help soon;Agriculture & Rural Development;0
hello road divider near giridih market broken causing traffic problems every day met several accidents;Infrastructure & Roads;4
streetlight near girls hostel shivpuri feels unsafe walk night complaining long time;Safety & Public Welfare;6
dear officer hand pump village broken 33 days walk far fetch water kindly repair pipeline people fall sick;Water Quality & Sanitation;8
living giridih many years water supplied tanker bero treated looks dirty kindly send someone check soon possible;Water Quality & Sanitation;8
respected sir madam people dumping waste open plot near sultanpur attracting stray animals needs fixed immediately;Waste Management;7
living khunti many years water supplied tanker hazaribagh treated looks dirty hope quick action side;Water Quality & Sanitation;8
respected sir madam playground equipment devgarh broken rusted safe children anymore waiting response;Safety & Public Welfare;6
may concern nearest school higher secondary far manjhgaon many students drop complaining long time;Education;2
dear officer streetlight road near jamshedpur 23 months please help us soon possible;Infrastructure & Roads;4
respected sir madam crop insurance claim last season still paid farmers torpa facing lot losses please help soon;Agriculture & Rural Development;0
power supply bishnupur keeps going every time rains complaining long time;Energy & Sustainability;3
boundary wall community park shivpuri broken children wander onto main road;Safety & Public Welfare;6
respected authority municipal waste truck skips area days requesting resolve soon;Waste Management;7
hello mosquito breeding near stagnant water sahibganj causing malaria cases rise please help us soon possible;Public Health;5
hello solar street lights installed koderma stopped working within months requesting resolve soon;Energy & Sustainability;3
class 23 student gumla one teacher entire primary school karra please send teachers school soon;Education;2
government hospital madhopur always even basic medicines hope quick action side;Public Health;5
respected authority price getting produce mandi much lower announced msp please help us kisano ko troubled;Agriculture & Rural Development;0
parent student madhopur school received textbooks even though session started 16 months ago please send teachers school soon;Education;2
sir proper sanitation hospital ward patients getting infections complaining long time;Public Health;5
hello price getting produce mandi much lower announced msp hope quick action side;Agriculture & Rural Development;0
may concern proper lighting bokaro street women feel scared walk alone night please look matter urgently;Safety & Public Welfare;6
every evening ranchi factory near torpa releases thick black smoke every day hard breathe kindly send someone check soon possible;Air & Environmental Pollution;1
sir ji proper storage facility jamshedpur lot grain gets spoiled every year complaining long time;Agriculture & Rural Development;0
garbage collection point near lakhanpur cleared weeks smells bad complaining long time;Waste Management;7
dear officer power cut jamshedpur 6 hours every day please look matter urgently;Energy & Sustainability;3
sir ji many people torpa fallen sick diarrhea recent floods waiting response;Public Health;5
respected sir madam garbage collected street koderma week kindly take necessary action;Waste Management;7
road dug pipeline work 17 months ago still repaired hope quick action side;Infrastructure & Roads;4
may concern streetlight near girls hostel bero feels unsafe walk night needs fixed immediately;Safety & Public Welfare;6
every day silli electricity meter installed house showing wrong readings kindly send someone check soon possible;Energy & Sustainability;3
sir railway crossing near dhanbad gate dangerous pedestrians kindly repair streetlights safety women children;Safety & Public Welfare;6
may concern public toilet near ranchi water connection cannot used waiting response;Water Quality & Sanitation;8
sir factory near godda releases thick black smoke every day hard breathe please help us soon possible;Air & Environmental Pollution;1
respected sir madam drainage near market chandpur blocked garbage overflowing kindly take necessary action;Waste Management;7
respected sir madam school boundary wall safe exam season affecting studies lot please help;Education;2
hello old age home jamtara enough staff take care residents please help us soon possible;Safety & Public Welfare;6
parent pathalgaon old age home tamar enough staff take care residents;Safety & Public Welfare;6
police patrol night lakhanpur area residents feel unsafe;Safety & Public Welfare;6
dear officer school library students access reference books;Education;2
run small shop latehar solar street lights installed bero stopped working within months please help us soon possible;Energy & Sustainability;3
respected authority water pipeline burst 10 days ago dirty muddy water entering homes please send someone test water quality soon;Water Quality & Sanitation;8
sir ji child suffering fever 4 days local clinic medicines requesting resolve soon;Public Health;5
dear officer proper road signs deoghar bypass accidents keep happening hope quick action side;Infrastructure & Roads;4
respected sir madam power cut koderma 2 hours every day complaining long time;Energy & Sustainability;3
stay near industrial area gumla air quality gumla become bad family keeps coughing children developing breathing problems smoke;Air & Environmental Pollution;1
residents bero village want inform borewell water locality become hard damaging utensils needs fixed immediately;Water Quality & Sanitation;8
received soil testing results even applying 24 weeks ago requesting resolve soon;Agriculture & Rural Development;0
every day going work silli open manholes madhopur road risky night please repair road someone gets seriously hurt;Infrastructure & Roads;4
resident sahibganj water tank near house cleaned months mosquitoes breeding kindly take necessary action;Water Quality & Sanitation;8
ambulance service available palamu emergencies please help us soon possible;Public Health;5
residents hazaribagh village want inform water supplied tanker khunti treated looks dirty;Water Quality & Sanitation;8
smoke nearby thermal plant made difficult breathe chaibasa lately waiting response;Air & Environmental Pollution;1
dear officer mosquito breeding near stagnant water ramgarh causing malaria cases rise hope quick action side;Public Health;5
sir ji boundary wall community park pakur broken children wander onto main road requesting resolve soon;Safety & Public Welfare;6
class 17 student rampur school boundary wall safe exam season please send teachers school soon;Education;2
dear officer power cut chandpur 31 hours every day requesting resolve soon;Energy & Sustainability;3
sir nearest school higher secondary far dhanbad many students drop please send teachers school soon;Education;2
student studying bishnupur one teacher entire primary school hazaribagh waiting response;Education;2
dear officer old age home bundu enough staff take care residents kindly send someone check soon possible;Safety & Public Welfare;6
dear officer streetlight near girls hostel kishanpur feels unsafe walk night feel safe neighbourhood anymore;Safety & Public Welfare;6
sir proper storage facility pathalgaon lot grain gets spoiled every year facing lot losses please help soon;Agriculture & Rural Development;0
run small shop ramgarh new transformer promised torpa still installed please look matter urgently;Energy & Sustainability;3
farmers barhi want inform fields flooded recent rains compensation given us kindly send agriculture officer inspect fields;Agriculture & Rural Development;0
run shop near lakhanpur market dustbin provided market area shivpuri people throw garbage road kindly clear waste becomes health hazard;Waste Management;7
resident hazaribagh want inform primary health centre palamu doctor available days;Public Health;5
hello tube well provided government sahibganj stopped working months kindly take necessary action;Agriculture & Rural Development;0
sir ji transformer near netarhat keeps tripping causing frequent power fluctuations please send electrician check meter wiring;Energy & Sustainability;3
sir ji child suffering fever 32 days local clinic medicines complaining long time;Public Health;5
respected sir madam children falling sick drinking water supplied sahibganj kindly send someone check soon possible;Water Quality & Sanitation;8
respected authority streetlight near girls hostel ranchi feels unsafe walk night please increase police patrolling area;Safety & Public Welfare;6
run shop near sahibganj market municipal waste truck skips area days requesting resolve soon;Waste Management;7
sir farmer bokaro proper storage facility ramgarh lot grain gets spoiled every year waiting response;Agriculture & Rural Development;0
hello irrigation canal near godda dry entire season crops dying complaining long time;Agriculture & Rural Development;0
residents karra street want inform garbage collected street silli week smell become unbearable residents;Waste Management;7
sir ji solar street lights installed ranchi stopped working within months complaining long time;Energy & Sustainability;3
respected authority factory near deoghar releases thick black smoke every day hard breathe please ask factory install proper pollution control equipment;Air & Environmental Pollution;1
sir ji power supply torpa keeps going every time rains please look matter urgently;Energy & Sustainability;3
may concern seeds supplied agriculture department season germinate properly;Agriculture & Rural Development;0
respected authority footpath near simdega broken long time difficult elderly people walk kindly install streetlights stretch soon possible;Infrastructure & Roads;4
may concern outbreak dengue jamshedpur health department sprayed anything needs fixed immediately;Public Health;5
resident shivpuri want inform primary health centre gumla doctor available days please send doctor health centre soon;Public Health;5
health worker visited village vaccination 12 weeks kindly take necessary action;Public Health;5
respected sir madam public toilet near kishanpur water connection cannot used please send someone test water quality soon;Water Quality & Sanitation;8
sir power cut kishanpur 9 hours every day;Energy & Sustainability;3
run small shop chandpur transformer near barhi keeps tripping causing frequent power fluctuations hope quick action side;Energy & Sustainability;3
respected authority sewage water mixing drinking water pipeline godda please look matter urgently;Water Quality & Sanitation;8
may concern bridge near jamshedpur damaged vehicles struggling cross;Infrastructure & Roads;4
sir ji hand pump village broken 13 days walk far fetch water needs fixed immediately;Water Quality & Sanitation;8
factory near ranchi releases thick black smoke every day hard breathe children developing breathing problems smoke;Air & Environmental Pollution;1
may concern health worker visited village vaccination 5 weeks please help us soon possible;Public Health;5
hello drainage near market deoghar blocked garbage overflowing kindly send someone check soon possible;Waste Management;7
respected authority tube well provided government giridih stopped working months kindly send agriculture officer inspect fields;Agriculture & Rural Development;0
dear officer boundary wall community park kishanpur broken children wander onto main road requesting resolve soon;Safety & Public Welfare;6
may concern garbage collection point near latehar cleared weeks smells bad needs fixed immediately;Waste Management;7
respected authority garbage collection point near hazaribagh cleared weeks smells bad smell become unbearable residents;Waste Management;7
dustbin provided market area karra people throw garbage road kindly take necessary action;Waste Management;7
respected authority loan waiver promised farmers barhi still processed complaining long time;Agriculture & Rural Development;0
respected sir madam air quality bokaro become bad family keeps coughing waiting response;Air & Environmental Pollution;1
run small shop rampur electricity bill month unusually high even though usage increased waiting response;Energy & Sustainability;3
hello factory waste dumped river near bishnupur use drinking water;Water Quality & Sanitation;8
respected sir madam children falling sick drinking water supplied barhi;Water Quality & Sanitation;8
dear officer received textbooks even though session started 44 months ago requesting resolve soon;Education;2
dear officer road dug pipeline work 6 months ago still repaired please repair road someone gets seriously hurt;Infrastructure & Roads;4
respected authority plastic waste burnt openly near ranchi every evening please help us soon possible;Waste Management;7
run small shop bero power supply koderma keeps going every time rains kindly take necessary action;Energy & Sustainability;3
living lakhanpur many years proper sewage system dhanbad waste water collects road every day please look matter urgently;Water Quality & Sanitation;8
writing behalf residents netarhat child suffering fever 15 days local clinic medicines kindly send someone check soon possible;Public Health;5
sir farmer pathalgaon irrigation canal near latehar dry entire season crops dying facing lot losses please help soon;Agriculture & Rural Development;0
residents jamshedpur village want inform hand pump village broken 26 days walk far fetch water needs fixed immediately;Water Quality & Sanitation;8
sir cctv cameras installed near bokaro market working months needs fixed immediately;Safety & Public Welfare;6
resident bero public toilet near manjhgaon water connection cannot used hope quick action side;Water Quality & Sanitation;8
respected sir madam culvert near chandpur collapsed villagers take long detour kindly install streetlights stretch soon possible;Infrastructure & Roads;4
hello smoke nearby thermal plant made difficult breathe silli lately kindly inspect pollution levels area;Air & Environmental Pollution;1
dear officer health worker visited village vaccination 4 weeks kindly send someone check soon possible;Public Health;5
every day kishanpur new transformer promised silli still installed please help us soon possible;Energy & Sustainability;3
sir ji smoke nearby thermal plant made difficult breathe khunti lately children developing breathing problems smoke;Air & Environmental Pollution;1
run shop near bundu market waste nearby slaughterhouse dumped near madhopur without treatment waiting response;Waste Management;7
sir ji vehicles passing chandpur road release thick black smoke pollution check ever happens children developing breathing problems smoke;Air & Environmental Pollution;1
woman living rampur several incidents chain snatching near pathalgaon market recently please look matter urgently;Safety & Public Welfare;6
resident bero want inform outbreak dengue latehar health department sprayed anything kindly send someone check soon possible;Public Health;5
respected sir madam vehicles passing dumka road release thick black smoke pollution check ever happens please ask factory install proper pollution control equipment;Air & Environmental Pollution;1
respected sir madam wild animals nearby forest keep destroying crops torpa night requesting resolve soon;Agriculture & Rural Development;0
sir ji solar street lights installed silli stopped working within months complaining long time;Energy & Sustainability;3
playground equipment lakhanpur broken rusted safe children anymore please increase police patrolling area;Safety & Public Welfare;6
respected sir madam many people torpa fallen sick diarrhea recent floods kindly arrange medicines health camp area;Public Health;5
parent barhi boundary wall community park palamu broken children wander onto main road please help us soon possible;Safety & Public Welfare;6
child unwell anganwadi centre dumka distributed nutrition supplements months kindly send someone check soon possible;Public Health;5
boundary wall community park dhanbad broken children wander onto main road kindly send someone check soon possible;Safety & Public Welfare;6
writing behalf residents chaibasa mosquito breeding near stagnant water bokaro causing malaria cases rise please help us soon possible;Public Health;5
respected authority public toilet near hazaribagh water connection cannot used;Water Quality & Sanitation;8
hello proper storage facility chaibasa lot grain gets spoiled every year facing lot losses please help soon;Agriculture & Rural Development;0
may concern water pipeline burst 16 days ago dirty muddy water entering homes kindly take necessary action;Water Quality & Sanitation;8
sir ji clean drinking water supply jamtara past 44 days kindly send someone check soon possible;Water Quality & Sanitation;8
respected authority playground equipment chandpur broken rusted safe children anymore feel safe neighbourhood anymore;Safety & Public Welfare;6
namaste sir main ek kisan hoon hazaribagh village crop insurance claim last season still paid farmers giridih please look matter urgently;Agriculture & Rural Development;0
living hazaribagh many years public toilet near barhi water connection cannot used;Water Quality & Sanitation;8
respected authority government school building chaibasa leaking roof classes get disturbed rain needs fixed immediately;Education;2
every day going work dhanbad culvert near ramgarh collapsed villagers take long detour waiting response;Infrastructure & Roads;4
respected authority seeds supplied agriculture department season germinate properly waiting response;Agriculture & Rural Development;0
run small shop netarhat village still proper electricity connection even promised one please help us soon possible;Energy & Sustainability;3
railway crossing near simdega gate dangerous pedestrians please help us soon possible;Safety & Public Welfare;6
may concern coal transport trucks passing lakhanpur spread black dust houses kindly take necessary action;Air & Environmental Pollution;1
proper lighting silli street women feel scared walk alone night complaining long time;Safety & Public Welfare;6
proper lighting karra street women feel scared walk alone night waiting response;Safety & Public Welfare;6
every day kishanpur solar street lights installed netarhat stopped working within months please look matter urgently;Energy & Sustainability;3
respected sir madam strong chemical smell coming industrial area near chandpur every night children developing breathing problems smoke;Air & Environmental Pollution;1
every evening bishnupur coal transport trucks passing kishanpur spread black dust houses kindly take necessary action;Air & Environmental Pollution;1
